City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guarapari,-20.6667,-40.4975,23.83,72,81,8.37,BR,1696180716
1,remire-montjoly,4.9167,-52.2667,33.02,58,75,4.63,GF,1696180815
2,port-aux-francais,-49.35,70.2167,6.26,97,100,19.13,TF,1696180815
3,palmer,42.1584,-72.3287,24.32,59,0,4.63,US,1696180815
4,mercedes,-34.6515,-59.4307,22.19,29,0,0.83,AR,1696180815
5,talnakh,69.4865,88.3972,-12.38,91,10,2.35,RU,1696180816
6,high river,50.5834,-113.8687,7.31,93,100,2.22,CA,1696180561
7,gazojak,41.1875,61.4036,19.25,32,28,3.5,TM,1696180816
8,st. john's,47.5649,-52.7093,19.66,59,75,8.75,CA,1696180644
9,santana,-0.0583,-51.1817,34.1,55,20,3.6,BR,1696180816
10,ribeira grande,38.5167,-28.7,22.22,60,20,4.92,PT,1696180817
11,isla mujeres,21.2311,-86.731,31.03,71,99,1.76,MX,1696180817
12,aral,40.5156,81.2636,21.21,19,6,2.62,CN,1696180817
13,queenstown,-31.8976,26.8753,11.72,61,0,5.74,ZA,1696180817
14,picos,-7.0769,-41.4669,39.97,14,17,2.69,BR,1696180806
15,tapes,-30.6733,-51.3958,17.25,58,0,3.57,BR,1696180818
16,adamstown,-25.066,-130.1015,20.64,82,50,10.95,PN,1696180818
17,bilibino,68.0546,166.4372,-7.8,87,100,0.39,RU,1696180818
18,colonia,50.9333,6.95,23.31,63,0,3.09,DE,1696180610
19,ilulissat,69.2167,-51.1,-0.99,74,4,1.54,GL,1696180818
20,giado,31.9582,12.0203,21.79,55,0,6.1,LY,1696180819
21,vallegrande,-18.4897,-64.1069,22.03,47,89,4.21,BO,1696180819
22,birobidzhan,48.8,132.95,9.34,88,56,1.63,RU,1696180819
23,princeville,45.7668,-61.2985,21.46,63,0,1.54,CA,1696180819
24,haiku-pauwela,20.9219,-156.3051,25.58,75,20,5.36,US,1696180819
25,puerto ayora,-0.7393,-90.3518,30.98,90,99,1.79,EC,1696180820
26,qaqortoq,60.7167,-46.0333,3.26,78,99,2.17,GL,1696180820
27,severo-yeniseyskiy,60.3725,93.0408,-1.35,68,92,5.81,RU,1696180820
28,ta`u,-14.2336,-169.5144,26.64,81,25,8.65,AS,1696180820
29,west island,-12.1568,96.8225,25.99,73,100,7.72,CC,1696180820
30,loango,-4.6719,11.8312,25.81,83,40,4.12,CG,1696180820
31,albany,42.6001,-73.9662,24.4,66,0,1.34,US,1696180523
32,invercargill,-46.4,168.35,13.9,74,74,4.47,NZ,1696180821
33,progreso,21.2833,-89.6667,32.06,59,83,2.95,MX,1696180821
34,ust-nera,64.5667,143.2,-2.2,62,31,3.42,RU,1696180821
35,atherton,53.5237,-2.4935,18.49,92,100,0.45,GB,1696180821
36,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,87,100,2,RU,1696180822
37,hami,42.8,93.45,16.9,35,59,4.05,CN,1696180822
38,east london,-33.0153,27.9116,15.52,72,20,3.6,ZA,1696180822
39,alofi,-19.0595,-169.9187,21.94,68,99,6.17,NU,1696180822
40,edinburgh of the seven seas,-37.0676,-12.3116,9.69,62,95,11.99,SH,1696180823
41,san sebastian de la gomera,28.0916,-17.1133,33.42,65,0,0.51,ES,1696180823
42,dakhla,23.6848,-15.958,25.01,69,0,8.75,EH,1696180823
43,rundu,-17.9333,19.7667,29.41,11,0,1.67,,1696180823
44,ramon',51.9157,39.3361,19.02,55,75,3,RU,1696180823
45,papatowai,-46.5619,169.4708,9.83,82,100,3.3,NZ,1696180824
